spp,true.lo,true.hi,obs.lo,obs.hi,mod.lo,mod.hi,sim,b,mtn,type,effort,era
23,2500,3700,2500,3600,2500,3600,6,100,FR,all,0.5,H
24,1500,3200,1600,3000,1600,3000,6,100,FR,all,0.5,H
25,1700,3100,1700,3000,1700,3000,6,100,FR,all,0.5,H
26,2100,2700,2100,2600,2100,2600,6,100,FR,all,0.5,H
27,1500,2900,1600,2900,1600,2900,6,100,FR,all,0.5,H
28,1800,3100,1900,3100,1900,3100,6,100,FR,all,0.5,H
29,1500,3000,1600,2900,1600,2900,6,100,FR,all,0.5,H
30,1500,3100,1600,3000,1600,3000,6,100,FR,all,0.5,H
31,1900,3000,1900,3000,1900,3000,6,100,FR,all,0.5,H
32,2300,3000,2400,2900,2400,2900,6,100,FR,all,0.5,H
33,1600,3500,1800,3400,1800,3400,6,100,FR,all,0.5,H
34,1500,2500,NA,NA,1500,3700,6,100,FR,all,0.5,H
35,1500,2400,1600,2300,1600,2300,6,100,FR,all,0.5,H
36,1500,3000,1600,2500,1500,2600,6,100,FR,all,0.5,H
37,2200,3600,2600,3500,2600,3500,6,100,FR,all,0.5,H
1,1500,3000,1500,3000,1500,3000,7,100,FR,all,0.5,H
2,1500,3700,1600,3700,1500,3700,7,100,FR,all,0.5,H
3,1500,2700,1600,2600,1600,2600,7,100,FR,all,0.5,H
4,1500,2700,1500,2600,1500,2600,7,100,FR,all,0.5,H
5,2000,3300,2000,3300,2000,3300,7,100,FR,all,0.5,H
6,1500,2500,1600,2500,1600,2500,7,100,FR,all,0.5,H
7,1500,3000,1600,2900,1600,2900,7,100,FR,all,0.5,H
8,1500,2500,1500,2500,1500,2500,7,100,FR,all,0.5,H
9,1500,2700,1600,2600,1600,2600,7,100,FR,all,0.5,H
10,1500,2800,1600,2800,1600,2800,7,100,FR,all,0.5,H
11,2600,3700,2600,3400,2600,3400,7,100,FR,all,0.5,H
12,1500,2800,1600,2800,1600,2800,7,100,FR,all,0.5,H
13,2400,3700,2400,3700,2400,3700,7,100,FR,all,0.5,H
14,1500,2700,1500,2700,1500,2700,7,100,FR,all,0.5,H
15,1900,2800,2100,2800,2100,2800,7,100,FR,all,0.5,H
16,1900,3000,2200,3000,2200,3000,7,100,FR,all,0.5,H
17,1500,3100,1800,2600,1700,2700,7,100,FR,all,0.5,H
18,1500,2700,1500,2700,1500,2700,7,100,FR,all,0.5,H
19,1500,3000,1600,3000,1600,3000,7,100,FR,all,0.5,H
20,2300,3700,2400,3600,2300,3600,7,100,FR,all,0.5,H
21,2500,3700,2500,3500,2500,3500,7,100,FR,all,0.5,H
22,1500,3200,1600,3200,1600,3200,7,100,FR,all,0.5,H
23,2500,3700,2600,3600,2600,3600,7,100,FR,all,0.5,H
24,1500,3200,1600,2900,1600,2900,7,100,FR,all,0.5,H
25,1700,3100,1700,3000,1700,3000,7,100,FR,all,0.5,H
26,2100,2700,2200,2600,2200,2600,7,100,FR,all,0.5,H
27,1500,2900,1600,2800,1600,2800,7,100,FR,all,0.5,H
28,1800,3100,2100,3100,2100,3100,7,100,FR,all,0.5,H
29,1500,3000,1600,2900,1600,2900,7,100,FR,all,0.5,H
30,1500,3100,1600,2900,1600,2900,7,100,FR,all,0.5,H
31,1900,3000,2100,3000,2100,3000,7,100,FR,all,0.5,H
32,2300,3000,2300,2900,2300,2900,7,100,FR,all,0.5,H
33,1600,3500,1600,3400,1600,3400,7,100,FR,all,0.5,H
34,1500,2500,NA,NA,1500,3700,7,100,FR,all,0.5,H
35,1500,2400,1600,2300,1600,2300,7,100,FR,all,0.5,H
36,1500,3000,1600,2900,1500,3000,7,100,FR,all,0.5,H
37,2200,3600,2400,3500,2400,3500,7,100,FR,all,0.5,H
1,1500,3000,1600,2900,1600,2900,8,100,FR,all,0.5,H
2,1500,3700,1600,3500,1500,3600,8,100,FR,all,0.5,H
3,1500,2700,1500,2600,1500,2600,8,100,FR,all,0.5,H
4,1500,2700,1600,2600,1600,2600,8,100,FR,all,0.5,H
5,2000,3300,2200,3300,2100,3300,8,100,FR,all,0.5,H
6,1500,2500,1600,2400,1600,2400,8,100,FR,all,0.5,H
7,1500,3000,1600,2800,1600,2800,8,100,FR,all,0.5,H
8,1500,2500,1600,2500,1600,2500,8,100,FR,all,0.5,H
9,1500,2700,1500,2700,1500,2700,8,100,FR,all,0.5,H
10,1500,2800,1500,2800,1500,2800,8,100,FR,all,0.5,H
11,2600,3700,2600,3600,2600,3600,8,100,FR,all,0.5,H
12,1500,2800,1600,2800,1600,2800,8,100,FR,all,0.5,H
13,2400,3700,2400,3600,2400,3600,8,100,FR,all,0.5,H
14,1500,2700,1500,2700,1500,2700,8,100,FR,all,0.5,H
15,1900,2800,2100,2800,2100,2800,8,100,FR,all,0.5,H
16,1900,3000,2000,2900,2000,2900,8,100,FR,all,0.5,H
17,1500,3100,1700,2600,1600,2700,8,100,FR,all,0.5,H
18,1500,2700,1500,2600,1500,2600,8,100,FR,all,0.5,H
19,1500,3000,1600,2900,1600,2900,8,100,FR,all,0.5,H
20,2300,3700,2300,3400,2300,3400,8,100,FR,all,0.5,H
21,2500,3700,2800,3700,2800,3700,8,100,FR,all,0.5,H
22,1500,3200,1600,3200,1600,3200,8,100,FR,all,0.5,H
23,2500,3700,2600,3500,2600,3500,8,100,FR,all,0.5,H
24,1500,3200,1600,3100,1600,3100,8,100,FR,all,0.5,H
25,1700,3100,1700,2900,1700,2900,8,100,FR,all,0.5,H
26,2100,2700,2200,2600,2200,2600,8,100,FR,all,0.5,H
27,1500,2900,1500,2800,1500,2800,8,100,FR,all,0.5,H
28,1800,3100,2000,3100,2000,3100,8,100,FR,all,0.5,H
29,1500,3000,1600,2900,1600,2900,8,100,FR,all,0.5,H
30,1500,3100,1600,3000,1500,3000,8,100,FR,all,0.5,H
31,1900,3000,1900,3000,1900,3000,8,100,FR,all,0.5,H
32,2300,3000,2400,2900,2400,2900,8,100,FR,all,0.5,H
33,1600,3500,1800,3400,1800,3400,8,100,FR,all,0.5,H
34,1500,2500,NA,NA,1500,3700,8,100,FR,all,0.5,H
35,1500,2400,1600,2200,1600,2200,8,100,FR,all,0.5,H
36,1500,3000,1600,1600,1600,1600,8,100,FR,all,0.5,H
37,2200,3600,2400,3600,2400,3600,8,100,FR,all,0.5,H
1,1500,3000,1600,2900,1600,2900,9,100,FR,all,0.5,H
2,1500,3700,1500,3600,1500,3600,9,100,FR,all,0.5,H
3,1500,2700,1500,2600,1500,2600,9,100,FR,all,0.5,H
4,1500,2700,1600,2700,1600,2700,9,100,FR,all,0.5,H
5,2000,3300,2100,3300,2100,3300,9,100,FR,all,0.5,H
6,1500,2500,1600,2500,1600,2500,9,100,FR,all,0.5,H
7,1500,3000,1600,2900,1600,2900,9,100,FR,all,0.5,H
8,1500,2500,1500,2400,1500,2400,9,100,FR,all,0.5,H
9,1500,2700,1500,2600,1500,2600,9,100,FR,all,0.5,H
10,1500,2800,1600,2800,1600,2800,9,100,FR,all,0.5,H
11,2600,3700,2600,3700,2600,3700,9,100,FR,all,0.5,H
12,1500,2800,1500,2800,1500,2800,9,100,FR,all,0.5,H
13,2400,3700,2400,3500,2400,3500,9,100,FR,all,0.5,H
14,1500,2700,1600,2700,1600,2700,9,100,FR,all,0.5,H
15,1900,2800,2000,2800,2000,2800,9,100,FR,all,0.5,H
16,1900,3000,2000,3000,2000,3000,9,100,FR,all,0.5,H
17,1500,3100,1600,2900,1500,3000,9,100,FR,all,0.5,H
18,1500,2700,1600,2600,1600,2600,9,100,FR,all,0.5,H
19,1500,3000,1600,2900,1600,2900,9,100,FR,all,0.5,H
20,2300,3700,2300,3600,2300,3600,9,100,FR,all,0.5,H
21,2500,3700,2500,3700,2500,3700,9,100,FR,all,0.5,H
22,1500,3200,1500,3200,1500,3200,9,100,FR,all,0.5,H
23,2500,3700,2600,3400,2600,3400,9,100,FR,all,0.5,H
24,1500,3200,1600,3000,1600,3000,9,100,FR,all,0.5,H
25,1700,3100,1700,2900,1700,2900,9,100,FR,all,0.5,H
26,2100,2700,2100,2600,2100,2600,9,100,FR,all,0.5,H
27,1500,2900,1600,2800,1500,2800,9,100,FR,all,0.5,H
28,1800,3100,2100,3100,2100,3100,9,100,FR,all,0.5,H
29,1500,3000,1600,2900,1600,2900,9,100,FR,all,0.5,H
30,1500,3100,1600,3000,1600,3000,9,100,FR,all,0.5,H
31,1900,3000,1900,3000,1900,3000,9,100,FR,all,0.5,H
32,2300,3000,2400,2900,2300,3000,9,100,FR,all,0.5,H
33,1600,3500,1800,3400,1800,3400,9,100,FR,all,0.5,H
34,1500,2500,1600,1600,1600,1600,9,100,FR,all,0.5,H
35,1500,2400,1600,2300,1600,2300,9,100,FR,all,0.5,H
36,1500,3000,1600,2900,1500,3000,9,100,FR,all,0.5,H
37,2200,3600,2300,3500,2300,3500,9,100,FR,all,0.5,H
1,1500,3000,1500,2900,1500,2900,10,100,FR,all,0.5,H
2,1500,3700,1500,3500,1500,3500,10,100,FR,all,0.5,H
3,1500,2700,1600,2600,1600,2600,10,100,FR,all,0.5,H
4,1500,2700,1500,2700,1500,2700,10,100,FR,all,0.5,H
5,2000,3300,2200,3300,2200,3300,10,100,FR,all,0.5,H
6,1500,2500,1600,2500,1600,2500,10,100,FR,all,0.5,H
7,1500,3000,1500,2900,1500,2900,10,100,FR,all,0.5,H
8,1500,2500,1600,2500,1600,2500,10,100,FR,all,0.5,H
9,1500,2700,1600,2700,1600,2700,10,100,FR,all,0.5,H
10,1500,2800,1500,2800,1500,2800,10,100,FR,all,0.5,H
11,2600,3700,2600,3400,2600,3400,10,100,FR,all,0.5,H
12,1500,2800,1600,2800,1500,2800,10,100,FR,all,0.5,H
13,2400,3700,2400,3600,2400,3600,10,100,FR,all,0.5,H
14,1500,2700,1600,2700,1600,2700,10,100,FR,all,0.5,H
15,1900,2800,2000,2800,2000,2800,10,100,FR,all,0.5,H
16,1900,3000,2000,3000,2000,3000,10,100,FR,all,0.5,H
17,1500,3100,2600,3000,2500,3100,10,100,FR,all,0.5,H
18,1500,2700,1600,2500,1600,2500,10,100,FR,all,0.5,H
19,1500,3000,1500,2900,1500,2900,10,100,FR,all,0.5,H
20,2300,3700,2300,3700,2300,3700,10,100,FR,all,0.5,H
21,2500,3700,2500,3700,2500,3700,10,100,FR,all,0.5,H
22,1500,3200,1600,3200,1600,3200,10,100,FR,all,0.5,H
23,2500,3700,2600,3400,2600,3400,10,100,FR,all,0.5,H
24,1500,3200,1600,3100,1600,3100,10,100,FR,all,0.5,H
25,1700,3100,1700,3000,1700,3000,10,100,FR,all,0.5,H
26,2100,2700,2200,2600,2200,2600,10,100,FR,all,0.5,H
27,1500,2900,1600,2900,1600,2900,10,100,FR,all,0.5,H
28,1800,3100,1900,3100,1900,3100,10,100,FR,all,0.5,H
29,1500,3000,1600,2900,1600,2900,10,100,FR,all,0.5,H
30,1500,3100,1500,3100,1500,3100,10,100,FR,all,0.5,H
31,1900,3000,1900,2900,1900,2900,10,100,FR,all,0.5,H
32,2300,3000,2400,2900,2400,2900,10,100,FR,all,0.5,H
33,1600,3500,1800,3400,1800,3400,10,100,FR,all,0.5,H
34,1500,2500,1600,1600,1600,1600,10,100,FR,all,0.5,H
35,1500,2400,1600,2300,1600,2300,10,100,FR,all,0.5,H
36,1500,3000,1600,2900,1500,3000,10,100,FR,all,0.5,H
37,2200,3600,2600,3600,2600,3600,10,100,FR,all,0.5,H
1,1500,3000,1600,2900,1600,2900,11,100,FR,all,0.5,H
2,1500,3700,1600,3500,1600,3500,11,100,FR,all,0.5,H
3,1500,2700,1600,2600,1600,2600,11,100,FR,all,0.5,H
4,1500,2700,1600,2600,1600,2600,11,100,FR,all,0.5,H
5,2000,3300,2200,3300,2200,3300,11,100,FR,all,0.5,H
6,1500,2500,1600,2500,1600,2500,11,100,FR,all,0.5,H
7,1500,3000,1600,2900,1600,2900,11,100,FR,all,0.5,H
8,1500,2500,1500,2400,1500,2400,11,100,FR,all,0.5,H
9,1500,2700,1600,2700,1600,2700,11,100,FR,all,0.5,H
10,1500,2800,1500,2800,1500,2800,11,100,FR,all,0.5,H
11,2600,3700,2600,3400,2600,3400,11,100,FR,all,0.5,H
12,1500,2800,1600,2800,1500,2800,11,100,FR,all,0.5,H
13,2400,3700,2400,3700,2400,3700,11,100,FR,all,0.5,H
14,1500,2700,1600,2700,1600,2700,11,100,FR,all,0.5,H
15,1900,2800,2000,2800,2000,2800,11,100,FR,all,0.5,H
16,1900,3000,2100,3000,2100,3000,11,100,FR,all,0.5,H
17,1500,3100,1600,2200,1500,2300,11,100,FR,all,0.5,H
18,1500,2700,1500,2600,1500,2600,11,100,FR,all,0.5,H
19,1500,3000,1500,2900,1500,2900,11,100,FR,all,0.5,H
20,2300,3700,2400,3600,2400,3600,11,100,FR,all,0.5,H
21,2500,3700,2500,3700,2500,3700,11,100,FR,all,0.5,H
22,1500,3200,1500,3200,1500,3200,11,100,FR,all,0.5,H
23,2500,3700,2500,3600,2500,3600,11,100,FR,all,0.5,H
24,1500,3200,1600,3000,1500,3000,11,100,FR,all,0.5,H
25,1700,3100,1700,3000,1700,3000,11,100,FR,all,0.5,H
